127.0.0.1 - - [02/Jun/2019:10:50:42 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [02/Jun/2019:10:52:00 -0300] "GET /rendas/ HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [02/Jun/2019:10:52:01 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [02/Jun/2019:10:52:03 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 10830
0:0:0:0:0:0:0:1 - - [02/Jun/2019:10:52:03 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:10:55:54 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 10896
0:0:0:0:0:0:0:1 - - [02/Jun/2019:10:55:54 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:10:57:44 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 10922
0:0:0:0:0:0:0:1 - - [02/Jun/2019:10:57:44 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:00:07 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 10965
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:00:07 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:00:45 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 10827
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:00:45 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:01:12 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 10875
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:01:12 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:01:31 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 10739
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:01:31 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:02:03 -0300] "POST /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 13166
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:02:28 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 16310
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:02:28 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:02:43 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 16356
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:02:44 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:03:23 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 16356
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:03:23 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:08:25 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 16356
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:08:26 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:36:26 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 500 3888
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:36:42 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 500 3888
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:36:56 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 16352
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:36:56 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:38:27 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 500 3951
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:39:13 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 500 3933
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:39:59 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 16460
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:39:59 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:40:24 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 16464
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:40:24 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:41:27 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 16464
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:41:27 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:46:09 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 16475
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:46:09 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:46:34 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 16475
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:46:34 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:46:53 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 16473
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:46:53 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:47:23 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 16462
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:47:23 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:48:05 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 16462
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:48:05 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:53:29 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 500 3906
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:53:44 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 500 3906
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:53:47 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 500 3906
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:54:01 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 16462
0:0:0:0:0:0:0:1 - - [02/Jun/2019:11:54:01 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:12:01:36 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 16460
0:0:0:0:0:0:0:1 - - [02/Jun/2019:12:01:36 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:12:01:58 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 16464
0:0:0:0:0:0:0:1 - - [02/Jun/2019:12:01:58 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:12:02:52 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 18657
0:0:0:0:0:0:0:1 - - [02/Jun/2019:12:02:52 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:12:05:13 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 500 3903
0:0:0:0:0:0:0:1 - - [02/Jun/2019:12:07:00 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 500 3879
0:0:0:0:0:0:0:1 - - [02/Jun/2019:12:07:53 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 19007
0:0:0:0:0:0:0:1 - - [02/Jun/2019:12:07:53 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:12:17:38 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 18650
0:0:0:0:0:0:0:1 - - [02/Jun/2019:12:17:38 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:12:19:25 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 18676
0:0:0:0:0:0:0:1 - - [02/Jun/2019:12:19:25 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2019:12:21:07 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 18712
0:0:0:0:0:0:0:1 - - [02/Jun/2019:12:21:07 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
