127.0.0.1 - - [14/Jun/2019:22:40:10 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:40:29 -0300] "GET /rendas/ HTTP/1.1" 200 3921
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:40:29 -0300] "GET /rendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:40:29 -0300] "GET /rendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 25088
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:40:29 -0300] "GET /rendas/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:40:29 -0300] "GET /rendas/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:40:29 -0300] "GET /rendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:40:29 -0300] "GET /rendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:40:29 -0300] "GET /rendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:40:30 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:40:33 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 18098
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:40:33 -0300] "GET /rendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:40:33 -0300] "GET /rendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:40:33 -0300] "GET /rendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:40:33 -0300] "GET /rendas/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:40:33 -0300] "GET /rendas/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:40:33 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:40:41 -0300] "POST /rendas/gerenciar-imovel.xhtml HTTP/1.1" 500 4104
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:54:09 -0300] "GET /rendas/ HTTP/1.1" 200 3920
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:54:09 -0300] "GET /rendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:54:09 -0300] "GET /rendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:54:09 -0300] "GET /rendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:54:09 -0300] "GET /rendas/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:54:09 -0300] "GET /rendas/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:54:10 -0300] "GET /rendas HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:54:14 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 18098
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:54:14 -0300] "GET /rendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:54:14 -0300] "GET /rendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:54:14 -0300] "GET /rendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:54:14 -0300] "GET /rendas/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:54:14 -0300] "GET /rendas/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:54:14 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:54:17 -0300] "POST /rendas/gerenciar-imovel.xhtml HTTP/1.1" 500 4104
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:55:27 -0300] "POST /rendas/gerenciar-imovel.xhtml HTTP/1.1" 500 4104
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:55:35 -0300] "GET /rendas HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:55:35 -0300] "GET /rendas/ HTTP/1.1" 200 3921
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:55:35 -0300] "GET /rendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:55:35 -0300] "GET /rendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:55:35 -0300] "GET /rendas/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:55:35 -0300] "GET /rendas/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:55:35 -0300] "GET /rendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:56:12 -0300] "GET /rendas/ HTTP/1.1" 200 3921
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:56:12 -0300] "GET /rendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:56:12 -0300] "GET /rendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:56:12 -0300] "GET /rendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:56:12 -0300] "GET /rendas/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:56:12 -0300] "GET /rendas/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:56:14 -0300] "GET /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 18096
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:56:14 -0300] "GET /rendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:56:14 -0300] "GET /rendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:56:14 -0300] "GET /rendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:56:14 -0300] "GET /rendas/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:56:14 -0300] "GET /rendas/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:56:14 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2019:22:56:16 -0300] "POST /rendas/gerenciar-imovel.xhtml HTTP/1.1" 500 4104
