127.0.0.1 - - [28/Jun/2019:19:08:43 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:12:19 -0300] "GET /rendas/ HTTP/1.1" 200 15455
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:12:20 -0300] "GET /rendas/javax.faces.resource/components.js.xhtml;jsessionid=90D4E83230B9C4D45EBF0D9B924F72CE?ln=primefaces&v=7.0 HTTP/1.1" 200 16406
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:12:20 -0300] "GET /rendas/javax.faces.resource/core.js.xhtml;jsessionid=90D4E83230B9C4D45EBF0D9B924F72CE?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:12:20 -0300] "GET /rendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=90D4E83230B9C4D45EBF0D9B924F72CE?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:12:20 -0300] "GET /rendas/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=90D4E83230B9C4D45EBF0D9B924F72CE?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:12:20 -0300] "GET /rendas/javax.faces.resource/components.css.xhtml;jsessionid=90D4E83230B9C4D45EBF0D9B924F72CE?ln=primefaces&v=7.0 HTTP/1.1" 200 32806
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:12:20 -0300] "GET /rendas/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=90D4E83230B9C4D45EBF0D9B924F72CE?ln=primefaces&v=7.0 HTTP/1.1" 200 16406
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:12:20 -0300] "GET /rendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=90D4E83230B9C4D45EBF0D9B924F72CE?ln=primefaces&v=7.0 HTTP/1.1" 200 16406
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:12:20 -0300] "GET /rendas/javax.faces.resource/core.js.xhtml;jsessionid=90D4E83230B9C4D45EBF0D9B924F72CE?ln=primefaces&v=7.0 HTTP/1.1" 200 16406
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:12:20 -0300] "GET /rendas/javax.faces.resource/components.js.xhtml;jsessionid=90D4E83230B9C4D45EBF0D9B924F72CE?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:12:20 -0300] "GET /rendas/javax.faces.resource/components.css.xhtml;jsessionid=90D4E83230B9C4D45EBF0D9B924F72CE?ln=primefaces&v=7.0 HTTP/1.1" 200 93207
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:12:20 -0300] "GET /rendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:12:21 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
