127.0.0.1 - - [13/Jun/2019:17:58:13 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [13/Jun/2019:18:19:06 -0300] "GET /rendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:18:19:06 -0300] "GET /rendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:18:20:55 -0300] "POST /rendas/gerenciar-imovel.xhtml HTTP/1.1" 200 17842
0:0:0:0:0:0:0:1 - - [13/Jun/2019:18:20:55 -0300] "GET /rendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:18:20:55 -0300] "GET /rendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:18:20:55 -0300] "GET /rendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:18:20:55 -0300] "GET /rendas/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:18:20:55 -0300] "GET /rendas/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:18:20:55 -0300] "GET /rendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:18:20:55 -0300] "GET /rendas/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
